Selected,"Cluttered (0, 1)",Unsure ,Unsure Criterion ,"Cluttered (0, 1)",Excluded ,,,,,,,,,,,,,,,,,,,,,
a/art_gallery/sun_aajmrygrsoqheptx.jpg,0,,,,a/auditorium/sun_aanwiqttwajcevqr.jpg,,,,,,,,,,,,,,,,,,,,,
a/art_gallery/sun_abbwggenhfbftyvi.jpg,0,,,,a/auditorium/sun_aaslkqqibkansrbd.jpg,,,,,,,,,,,,,,,,,,,,,
a/attic/sun_abpxxzzjsgowyosm.jpg,0,,,,a/attic/sun_aactudyulvpeuohg.jpg,,,,,,,,,,,,,,,,,,,,,
b/banquet_hall/sun_aferuvanaztjlrbz.jpg,1,,,,a/archive/sun_aaeuwbbgnifinbli.jpg,,,,,,,,,,,,,,,,,,,,,
b/bathroom/sun_aamrfepkhweyewue.jpg,0,,,,a/archive/sun_acyhctobdkxwfssi.jpg,,,,,,,,,,,,,,,,,,,,,
b/bedroom/sun_aaaxduqfqjdvroqe.jpg,0,,,,b/ballroom/sun_abgtlgislubwmajm.jpg,,,,,,,,,,,,,,,,,,,,,
c/cafeteria/sun_acccoqddcwaqtqbz.jpg,0,b/bedroom/sun_aabmkmpbqhgzvwae.jpg,Irregular Angle,0,b/ballroom/sun_abhfeqepnmvxveyu.jpg,,,,,,,,,,,,,,,,,,,,,
c/childs_room/sun_abigoqqrjzdhsqze.jpg,0,,,,b/banquet_hall/sun_agjbqfmelgyiplyk.jpg,,,,,,,,,,,,,,,,,,,,,
c/closet/sun_abxnragferwudbgs.jpg,0,,,,b/bar/sun_aaizgqjmxfvzfkfd.jpg,,,,,,,,,,,,,,,,,,,,,
c/computer_room/sun_agncexikvmbbhejn.jpg,0,,,,b/bar/sun_aamudvxujwzvbhwy.jpg,,,,,,,,,,,,,,,,,,,,,
c/conference_room/sun_aatxlublfjchvvzu.jpg,0,,,,b/bathroom/sun_aanfwbmskfbcwpwz.jpg,,,,,,,,,,,,,,,,,,,,,
g/game_room/sun_accgcmqkndbwjwaf.jpg,1,,,,b/bistro/indoor/sun_acecokomkaljggzc.jpg,,,,,,,,,,,,,,,,,,,,,
b/ballroom/sun_abpwcweehdkefavz.jpg,0,,,,b/bistro/indoor/sun_acsefjxrxkibjqnj.jpg,,,,,,,,,,,,,,,,,,,,,
b/bistro/indoor/sun_afcofuuzebuadceo.jpg,1,,,,b/bookstore/sun_aaftscuylumjqwis.jpg,,,,,,,,,,,,,,,,,,,,,
c/classroom/sun_acnonyefptfdcngi.jpg,0,,,,b/bookstore/sun_aamyahqrczzbcohx.jpg,,,,,,,,,,,,,,,,,,,,,
c/computer_room/sun_aiwdglrsrkkfbgzz.jpg,1,,,,c/cafeteria/sun_abhnefiriurodluh.jpg,,,,,,,,,,,,,,,,,,,,,
